ra,decl
51.92230947845039,-33.91530509225299
51.92232776315806,-33.915283438014
51.92234520046398,-33.9152624762315
51.922361846003135,-33.91524218231339
51.92237775199179,-33.91522253015663
51.92239296729106,-33.9152034928188
51.92240753751907,-33.91518504303432
51.9224215051946,-33.915167153606426
51.922434909899984,-33.91514979770023
51.92244778845392,-33.9151329490574
51.922460175087515,-33.9151165821492
51.922472101619014,-33.91510067228114
51.92248359762376,-33.91508519566002
51.92249469059743,-33.91507012943184
51.92250540611105,-33.91505545169744
51.922515767957044,-33.91504114151122
51.922525798286124,-33.91502717886714
51.92253551773482,-33.915013544675524
51.92254494554396,-33.91500022073304
51.92255409966841,-33.91498718968819
51.92256299687842,-33.91497443500365
51.922571652853186,-33.91496194091686
51.92258008226703,-33.91494969239968
51.92258829886874,-33.91493767511797
51.92259631555456,-33.91492587539142
51.922604144435326,-33.914914280154164
51.92261179689829,-33.914902876916464
51.92261928366386,-33.9148916537275
51.92262661483796,-33.914880599139536
51.92263379996009,-33.91486970217344
51.92264084804775,-33.914858952285634
51.92264776763725,-33.91484833933641
51.92265456682148,-33.914837853559646
51.92266125328472,-33.914827485533834
51.92266783433488,-33.91481722615434
51.92267431693329,-33.914807066606876
51.922680707722364,-33.91479699834211
51.92268701305127,-33.91478701305127
51.92269323899978,-33.91477710264268
51.92269939140052,-33.91476725921925
51.92270547585969,-33.91475747505666
51.92271149777648,-33.91474774258226
51.92271746236122,-33.91473805435458
51.92272337465246,-33.91472840304341
51.922729239533034,-33.91471878141025
51.92273506174522,-33.91470918228912
51.922740845905096,-33.91469959856773
51.92274659651616,-33.91469002316869
51.92275231798228,-33.91468044903096
51.92275801462009,-33.91467086909124
51.92276369067086,-33.91466127626529
51.922769350311874,-33.91465166342915
51.92277499766745,-33.91464202340002
51.922780636819596,-33.91463234891689
51.922786271818325,-33.91462263262069
51.92279190669179,-33.91461286703392
51.922797545456106,-33.91460304453959
51.92280319212505,-33.91459315735952
51.92280885071962,-33.914583197531684
51.92281452527743,-33.91457315688661
51.92282021986205,-33.914563027022695
51.92282593857227,-33.91455279928024
51.92283168555131,-33.9145424647141
51.92283746499601,-33.91453201406487
51.92284328116595,-33.91452143772825
51.92284913839264,-33.914510725722636
51.92285504108855,-33.9144998676546
51.92286099375619,-33.9144888526821
51.9228670009971,-33.91447766947527
51.922873067520726,-33.91446630617443
51.922879198153105,-33.914454750345236
51.922885397845384,-33.91444298893055
51.922891671681946,-33.91443100819892
51.92289802488813,-33.91441879368924
51.9229044628373,-33.91440633015142
51.922910991057144,-33.91439360148272
51.92291761523491,-33.91438059065931
51.922924341221254,-33.91436727966308
51.92293117503238,-33.914353649402976
51.922938122849914,-33.91433967963097
51.92294519101797,-33.914325348852216
51.922952386036734,-33.91431063422921
51.92295971455152,-33.914295511479985
51.9229671833364,-33.91427995477026
51.9229747992709,-33.91426393659976
51.92298256930822,-33.9142474276832
51.92299050043294,-33.91423039682654
51.92299859960567,-33.914212810799825
51.92300687369179,-33.914194634208215
51.92301532937041,-33.91417582936368
51.923023973019205,-33.914156356160724
51.92303281056964,-33.91413617196091
51.92304184732582,-33.91411523149213
51.92305108773915,-33.91409348677128
51.9230605351288,-33.91407088706099
51.923070191336514,-33.9140473788749
51.92308005630165,-33.91402290605003
51.92309012753975,-33.91399740991015
51.92310039950514,-33.913970829550856
51.92311086281456,-33.91394310228528
51.92312150330579,-33.91391416429929
51.923132300901635,-33.91388395157726
51.923143228247454,-33.91385240117331
51.92315424908873,-33.913819452918794
51.92316531635657,-33.913785051673976
51.92317636993412,-33.91374915024829
51.92318733408843,-33.91371171312815
51.92319811457355,-33.91367272115836
51.92320859544521,-33.913632177318085
51.923218635680904,-33.91359011370411
51.92322806577591,-33.913546599771976
51.92323668459083,-33.913501751772436
51.92324425686054,-33.91345574313946
51.92325051193284,-33.913408815321226
51.92325514447131,-33.91336128819074
51.9232578179965,-33.91331356874186
51.92325817219802,-33.91326615632053
51.923255834850494,-33.913219642261005
51.92325043882479,-33.9131747016503
51.92324164403662,-33.91313207522907
51.92322916321922,-33.91309254033635
51.92321278925977,-33.91305687139149
51.92319242076253,-33.913025792534796
51.92316808186221,-33.912999927284396
51.923139932476104,-33.912979751745816
51.923108266335596,-33.91296555834122
51.923073496133206,-33.91295743580788
51.92303612746893,-33.912955268496084
51.922996725300536,-33.91295875449275
51.92295587771287,-33.91296743882795
51.92291416177238,-33.91298075588259
51.92287211518612,-33.91299807453185
51.92283021588718,-33.91301874039038
51.92278887003396,-33.913042111242994
51.922748407623104,-33.91306758370866
51.92270908414837,-33.913094610895094
51.922671086470196,-33.91312271199169
51.92263454116354,-33.91315147538046
51.922599523924156,-33.91318055701975
51.922566068998165,-33.913209675727394
51.92253417796574,-33.913238606706436
51.92250382751027,-33.91326717432553
51.922474976025164,-33.91329524485608
51.92244756905724,-33.913322719610164
51.922421543673146,-33.9133495287275
51.92239683187895,-33.91337562572057
51.92237336323759,-33.91340098279572
51.92235106682603,-33.913425586912275
51.92232987266108,-33.913449436511584
51.92230971270565,-33.913472538834924
51.92229052154961,-33.91349490774701
51.92227223684194,-33.913516561986
51.92225479953602,-33.913537523768504
51.922238153996865,-33.91355781768661
51.92222224800821,-33.91357746984337
51.92220703270894,-33.913596507181204
51.92219246248093,-33.91361495696568
51.9221784948054,-33.913632846393575
51.922165090100016,-33.91365020229977
51.92215221154608,-33.9136670509426
51.922139824912485,-33.9136834178508
51.922127898380985,-33.91369932771886
51.92211640237624,-33.91371480433998
51.92210530940257,-33.91372987056816
51.92209459388895,-33.91374454830256
51.922084232042955,-33.913758858488784
51.922074201713876,-33.91377282113286
51.92206448226518,-33.91378645532448
51.92205505445604,-33.91379977926696
51.92204590033159,-33.91381281031181
51.92203700312158,-33.91382556499635
51.922028347146814,-33.91383805908314
51.92201991773297,-33.91385030760032
51.92201170113126,-33.91386232488203
51.92200368444544,-33.91387412460858
51.921995855564674,-33.91388571984584
51.92198820310171,-33.91389712308354
51.92198071633614,-33.9139083462725
51.92197338516204,-33.913919400860465
51.92196620003991,-33.91393029782656
51.92195915195225,-33.91394104771437
51.92195223236275,-33.91395166066359
51.92194543317852,-33.913962146440355
51.92193874671528,-33.91397251446617
51.92193216566512,-33.91398277384566
51.92192568306671,-33.913992933393125
51.921919292277636,-33.91400300165789
51.92191298694873,-33.914012986948734
51.92190676100022,-33.91402289735732
51.92190060859948,-33.91403274078075
51.921894524140306,-33.91404252494334
51.92188850222352,-33.914052257417744
51.92188253763878,-33.91406194564542
51.92187662534754,-33.91407159695659
51.921870760466966,-33.91408121858975
51.92186493825478,-33.91409081771088
51.9218591540949,-33.91410040143227
51.92185340348384,-33.91410997683131
51.92184768201772,-33.91411955096904
51.921841985379906,-33.91412913090876
51.92183630932914,-33.91413872373471
51.921830649688125,-33.914148336570854
51.92182500233255,-33.91415797659998
51.921819363180404,-33.91416765108311
51.921813728181675,-33.91417736737931
51.92180809330821,-33.914187132966084
51.921802454543894,-33.91419695546041
51.92179680787495,-33.91420684264048
51.92179114928038,-33.91421680246832
51.92178547472257,-33.91422684311339
51.92177978013795,-33.91423697297731
51.92177406142773,-33.914247200719764
51.92176831444869,-33.9142575352859
51.92176253500399,-33.91426798593513
51.92175671883405,-33.914278562271754
51.92175086160736,-33.914289274277365
51.92174495891145,-33.9143001323454
51.92173900624381,-33.9143111473179
51.9217329990029,-33.91432233052473
51.921726932479274,-33.91433369382557
51.921720801846895,-33.914345249654765
51.921714602154616,-33.91435701106945
51.921708328318054,-33.91436899180108
51.92170197511187,-33.914381206310765
51.9216955371627,-33.91439366984858
51.921689008942856,-33.91440639851728
51.92168238476509,-33.91441940934069
51.921675658778746,-33.91443272033692
51.92166882496762,-33.914446350597025
51.921661877150086,-33.91446032036903
51.92165480898203,-33.914474651147785
51.921647613963266,-33.91448936577079
51.92164028544848,-33.914504488520016
51.9216328166636,-33.91452004522974
51.9216252007291,-33.91453606340024
51.92161743069178,-33.9145525723168
51.92160949956706,-33.91456960317346
51.92160140039433,-33.91458718920018
51.92159312630821,-33.914605365791786
51.92158467062959,-33.91462417063632
51.921576026980794,-33.91464364383928
51.92156718943036,-33.91466382803909
51.92155815267418,-33.91468476850787
51.92154891226085,-33.91470651322872
51.9215394648712,-33.914729112939014
