ra,decl
51.92394251207729,-33.9116296884757
51.92378263583889,-33.91166296209758
51.92366473429951,-33.91167974886555
51.92338695652173,-33.9117836203798
51.923147448611736,-33.91194073987536
51.92310917874396,-33.91196192317437
51.922831400966174,-33.91217988550183
51.922795969434816,-33.91221851765314
51.92255416366083,-33.91249629543091
51.9225536231884,-33.912496884793434
51.92233246264091,-33.912774073208695
51.922275845410624,-33.912856760239755
51.92214039347753,-33.91305185098647
51.921998307009744,-33.91332962876425
51.92199806763284,-33.91333003389884
51.92181279038535,-33.91360740654203
51.92172028985507,-33.913806389617406
51.92167073303394,-33.9138851843198
51.92151784950266,-33.914162962097585
51.92144251207729,-33.91434182161282
51.9213814571641,-33.91444073987536
51.92124326263963,-33.914718517653135
51.92116473429951,-33.91492438966917
51.92112184614872,-33.91499629543092
51.920987709539155,-33.91527407320869
51.92088995058378,-33.91555185098647
51.920886956521734,-33.91556058396909
51.92075552428472,-33.91582962876425
51.920660505590696,-33.916107406542025
51.92060917874395,-33.9162751868584
51.92055959884393,-33.91638518431981
51.92047978641676,-33.91666296209758
51.920440914770886,-33.91694073987536
51.92055225326452,-33.91721851765314
51.92060917874395,-33.91725179127502
51.920769054982365,-33.91721851765314
51.920886956521734,-33.91720173088517
51.92116473429951,-33.91709785937092
51.92140424220951,-33.91694073987536
51.92144251207729,-33.91691955657636
51.92172028985507,-33.9167015942489
51.92175572138643,-33.91666296209758
51.921997527160414,-33.91638518431981
51.92199806763284,-33.916384594957286
51.92221922818034,-33.916107406542025
51.922275845410624,-33.91602471951097
51.922411297343714,-33.91582962876425
51.922553383811504,-33.91555185098647
51.9225536231884,-33.9155514458519
51.922738900435895,-33.91527407320869
51.922831400966174,-33.91507509013332
51.92288095778731,-33.91499629543092
51.92303384131858,-33.914718517653135
51.92310917874396,-33.914539658137905
51.923170233657146,-33.91444073987536
51.92330842818162,-33.914162962097585
51.92338695652173,-33.91395709008157
51.923429844672526,-33.9138851843198
51.923563981282086,-33.91360740654203
51.92366174023747,-33.91332962876425
51.92366473429951,-33.91332089578164
51.923796166536526,-33.91305185098647
51.92389118523055,-33.912774073208695
51.92394251207729,-33.91260629289233
51.92399209197732,-33.91249629543091
51.92407190440448,-33.91221851765314
51.924110776050355,-33.91194073987536
51.92399943755674,-33.91166296209758
51.92394251207729,-33.9116296884757
51.58664251207729,-33.7824296884757
51.58648263583889,-33.78246296209758
51.58636473429951,-33.782479748865555
51.58608695652173,-33.7825836203798
51.58584744861174,-33.782740739875365
51.58580917874396,-33.78276192317437
51.585531400966175,-33.78297988550183
51.58549596943482,-33.78301851765314
51.58525416366083,-33.783296295430915
51.5852536231884,-33.78329688479344
51.58503246264091,-33.7835740732087
51.584975845410625,-33.78365676023976
51.58484039347753,-33.78385185098647
51.584698307009745,-33.784129628764255
51.58469806763284,-33.78413003389884
51.584512790385354,-33.78440740654203
51.58442028985507,-33.78460638961741
51.58437073303394,-33.784685184319805
51.584217849502664,-33.78496296209759
51.58414251207729,-33.785141821612825
51.5840814571641,-33.78524073987536
51.58394326263963,-33.78551851765314
51.58386473429951,-33.78572438966917
51.58382184614872,-33.78579629543092
51.583687709539156,-33.786074073208695
51.58358995058378,-33.78635185098647
51.583586956521735,-33.78636058396909
51.58345552428472,-33.78662962876425
51.5833605055907,-33.78690740654203
51.58330917874395,-33.7870751868584
51.58325959884393,-33.78718518431981
51.583179786416764,-33.787462962097585
51.58314091477089,-33.78774073987536
51.58325225326452,-33.78801851765314
51.58330917874395,-33.788051791275024
51.583469054982366,-33.78801851765314
51.583586956521735,-33.78800173088517
51.58386473429951,-33.78789785937092
51.58410424220951,-33.78774073987536
51.58414251207729,-33.78771955657636
51.58442028985507,-33.7875015942489
51.58445572138643,-33.787462962097585
51.584697527160415,-33.78718518431981
51.58469806763284,-33.78718459495729
51.58491922818034,-33.78690740654203
51.584975845410625,-33.786824719510975
51.585111297343715,-33.78662962876425
51.585253383811505,-33.78635185098647
51.5852536231884,-33.7863514458519
51.585438900435896,-33.786074073208695
51.585531400966175,-33.785875090133324
51.58558095778731,-33.78579629543092
51.58573384131858,-33.78551851765314
51.58580917874396,-33.78533965813791
51.58587023365715,-33.78524073987536
51.58600842818162,-33.78496296209759
51.58608695652173,-33.78475709008157
51.58612984467253,-33.784685184319805
51.58626398128209,-33.78440740654203
51.58636174023747,-33.784129628764255
51.58636473429951,-33.78412089578164
51.58649616653653,-33.78385185098647
51.58659118523055,-33.7835740732087
51.58664251207729,-33.78340629289233
51.58669209197732,-33.783296295430915
51.58677190440448,-33.78301851765314
51.586810776050356,-33.782740739875365
51.58669943755674,-33.78246296209758
51.58664251207729,-33.7824296884757
51.89394251207729,-33.803629688475695
51.89378263583889,-33.803662962097576
51.893664734299506,-33.80367974886555
51.89338695652173,-33.8037836203798
51.893147448611735,-33.80394073987536
51.893109178743956,-33.80396192317436
51.89283140096617,-33.804179885501824
51.892795969434815,-33.80421851765313
51.892554163660826,-33.80449629543091
51.8925536231884,-33.80449688479343
51.89233246264091,-33.80477407320869
51.89227584541062,-33.80485676023975
51.892140393477526,-33.805051850986466
51.89199830700974,-33.80532962876425
51.89199806763284,-33.805330033898834
51.89181279038535,-33.80560740654202
51.891720289855066,-33.8058063896174
51.89167073303394,-33.8058851843198
51.89151784950266,-33.80616296209758
51.89144251207729,-33.80634182161282
51.8913814571641,-33.806440739875356
51.89124326263963,-33.80671851765313
51.89116473429951,-33.80692438966916
51.89112184614872,-33.80699629543091
51.890987709539154,-33.80727407320869
51.89088995058378,-33.807551850986464
51.89088695652173,-33.807560583969085
51.89075552428472,-33.807829628764246
51.890660505590695,-33.80810740654202
51.89060917874395,-33.808275186858396
51.89055959884393,-33.8083851843198
51.89047978641676,-33.80866296209758
51.890440914770885,-33.808940739875354
51.89055225326452,-33.809218517653136
51.89060917874395,-33.80925179127502
51.890769054982364,-33.809218517653136
51.89088695652173,-33.809201730885164
51.89116473429951,-33.809097859370915
51.89140424220951,-33.808940739875354
51.89144251207729,-33.808919556576356
51.891720289855066,-33.808701594248895
51.89175572138643,-33.80866296209758
51.89199752716041,-33.8083851843198
51.89199806763284,-33.80838459495728
51.89221922818034,-33.80810740654202
51.89227584541062,-33.80802471951097
51.89241129734371,-33.807829628764246
51.8925533838115,-33.807551850986464
51.8925536231884,-33.80755144585189
51.892738900435894,-33.80727407320869
51.89283140096617,-33.80707509013332
51.892880957787305,-33.80699629543091
51.89303384131858,-33.80671851765313
51.893109178743956,-33.8065396581379
51.893170233657145,-33.806440739875356
51.89330842818162,-33.80616296209758
51.89338695652173,-33.80595709008156
51.893429844672525,-33.8058851843198
51.893563981282085,-33.80560740654202
51.89366174023747,-33.80532962876425
51.893664734299506,-33.805320895781634
51.893796166536525,-33.805051850986466
51.89389118523055,-33.80477407320869
51.89394251207729,-33.80460629289232
51.89399209197732,-33.80449629543091
51.89407190440448,-33.80421851765313
51.894110776050354,-33.80394073987536
51.89399943755674,-33.803662962097576
51.89394251207729,-33.803629688475695
51.7994425120773,-33.81252968847569
51.7992826358389,-33.81256296209757
51.79916473429952,-33.812579748865545
51.79888695652174,-33.812683620379794
51.798647448611746,-33.812840739875355
51.798609178743966,-33.81286192317436
51.798331400966184,-33.81307988550182
51.798295969434825,-33.81311851765313
51.79805416366084,-33.813396295430906
51.79805362318841,-33.81339688479343
51.79783246264092,-33.81367407320869
51.797775845410634,-33.81375676023975
51.797640393477536,-33.81395185098646
51.797498307009754,-33.814229628764245
51.79749806763285,-33.81423003389883
51.79731279038536,-33.81450740654202
51.797220289855076,-33.8147063896174
51.79717073303395,-33.814785184319796
51.79701784950267,-33.81506296209758
51.7969425120773,-33.815241821612815
51.79688145716411,-33.81534073987535
51.79674326263964,-33.81561851765313
51.79666473429952,-33.81582438966916
