ra,decl
0.001642512077289382,0.0027703115243014054
0.0014826358388901895,0.002737037902420525
0.0013647342995071199,0.0027202511344484037
0.0010869565217319632,0.0026163796201998935
0.0008474486117364677,0.002459260124638263
0.0008091787439568066,0.0024380768256335728
0.0005314009661745445,0.0022201144981721654
0.0004959694348158905,0.002181482346863106
0.0002541636608270892,0.0019037045690879495
0.0002536231883993878,0.001903115206566497
3.246264090961404e-05,0.0016259267913056874
-2.4154589375768865e-05,0.0015432397602452852
-0.00015960652247315466,0.0013481490135305307
-0.0003016929902557308,0.0010703712357482686
-0.00030193236715803096,0.0010699661011628336
-0.00048720961464709944,0.000792593457973112
-0.0005797101449331876,0.0005936103825945338
-0.0006292669660581396,0.0005148156801979553
-0.0007821504973364313,0.00023703790241569322
-0.0008574879227083443,5.81783871780317e-05
-0.00091854283589754,-4.073987535946344e-05
-0.0010567373603720398,-0.0003185176531346201
-0.0011352657004906064,-0.0005243896691666805
-0.0011781538512778411,-0.0005962954309168822
-0.0013122904608451336,-0.0008740732086920389
-0.0014100494162221366,-0.0011518509864671955
-0.001413043478265763,-0.001160583969088691
-0.0015444757152778266,-0.0014296287642494576
-0.0016394944093036656,-0.0017074065420246143
-0.0016908212560480251,-0.0018751868583990472
-0.0017404011560699928,-0.0019851843198068764
-0.0018202135832368072,-0.002262962097582033
-0.0018590852291140436,-0.0025407398753571897
-0.0017477467354822807,-0.002818517653139452
-0.0016908212560480251,-0.0028517912750203323
-0.0015309450176346218,-0.002818517653139452
-0.001413043478265763,-0.0028017308851673306
-0.0011352657004906064,-0.0026978593709188203
-0.0008957577904880054,-0.0025407398753571897
-0.0008574879227083443,-0.002519556576359605
-0.0005797101449331876,-0.0023015942488981977
-0.0005442786135674282,-0.002262962097582033
-0.00030247283958573234,-0.0019851843198068764
-0.00030193236715803096,-0.001984594957285424
-8.077181966115177e-05,-0.0017074065420246143
-2.4154589375768865e-05,-0.0016247195109713175
0.0001112973437145115,-0.0014296287642494576
0.0002533838115041931,-0.0011518509864671955
0.0002536231883993878,-0.0011514458518959714
0.0004389004358955617,-0.0008740732086920389
0.0005314009661745445,-0.0006750901333205661
0.0005809577873066019,-0.0005962954309168822
0.0007338413185777881,-0.0003185176531346201
0.0008091787439568066,-0.000139658137904064
0.0008702336571460023,-4.073987535946344e-05
0.001008428181620502,0.00023703790241569322
0.0010869565217319632,0.00044290991843354277
0.0011298446725263034,0.0005148156801979553
0.0012639812820864904,0.000792593457973112
0.001361740237470599,0.0010703712357482686
0.0013647342995071199,0.0010791042183626587
0.0014961665365262888,0.0013481490135305307
0.001591185230552128,0.0016259267913056874
0.001642512077289382,0.0017937071076730149
0.001692091977318455,0.0019037045690879495
0.001771904404478164,0.002181482346863106
0.0018107760503554005,0.002459260124638263
0.0016994375567378484,0.002737037902420525
0.001642512077289382,0.0027703115243014054
